Title,Year,Genres,Language,Director,Score,soup
Metropolis,1927,Drama Science Fiction,German,Fritz Lang,8.1,manvsmachine basedonnovelorbook undergroundworld inventor metropolis future classsociety dystopia towerofbabel delirium madscientist prophet robot destruction silentfilm expressionism sevendeadlysins depravity mobjustice downtrodden saviour socialunrest germanexpressionism mediator dramasciencefiction fritzlang gustavfröhlich brigittehelm alfredabel rudolfkleinrogge
Django Unchained,2012,Drama Western,English,Quentin Tarantino,8.09,bountyhunter hero plantation society friendship friends revenge rivalry rescue shootout racism dentist django aftercreditsstinger oddcouple blackslave deadly 19thcentury dramawestern quentintarantino jamiefoxx christophwaltz leonardodicaprio kerrywashington
The Matrix,1999,Action Science Fiction,English,Lilly Wachowski,8.09,savingtheworld artificialintelligence manvsmachine philosophy prophecy martialarts selfsacrifice fight insurgence virtualreality dystopia truth cyberpunk dreamworld womandirector messiah gnosticism actionsciencefiction lillywachowski keanureeves laurencefishburne carrieannemoss hugoweaving
Shutter Island,2010,Drama Thriller Mystery,English,Martin Scorsese,8.09,basedonnovelorbook island hurricane investigation psychiatrichospital u.s.marshal conspiracytheory neo-noir 1950s dramathrillermystery martinscorsese leonardodicaprio markruffalo benkingsley emilymortimer
Harry Potter and the Deathly Hallows: Part 2,2011,Fantasy Adventure,English,David Yates,8.09,selfsacrifice magic frog sorcerer school wizard 3d basedonyoungadultnovel wizardingworld fantasyadventure davidyates danielradcliffe rupertgrint emmawatson alanrickman
The Truman Show,1998,Comedy Drama,English,Peter Weir,8.09,claustrophobia hiddencamera dystopia realitytv makebelieve pretend comedydrama peterweir jimcarrey lauralinney noahemmerich nataschamcelhone
Saving Private Ryan,1998,Drama History War,English,Steven Spielberg,8.08,warcrimes selfsacrifice warveteran worldwarii warship airplane bravery normandy parachute troops waffenss omahabeach army cowardice americanflag warmemorial desertedtown military 1940s dramahistorywar stevenspielberg tomhanks mattdamon tomsizemore edwardburns
The Departed,2006,Drama Thriller Crime,English,Martin Scorsese,8.08,undercover boston massachusetts police friends remake mafia undercovercop mobster mole statepolice policetraining realtor dramathrillercrime martinscorsese leonardodicaprio mattdamon jacknicholson verafarmiga
Eternal Sunshine of the Spotless Mind,2004,Science Fiction Drama Romance,English,Michel Gondry,8.08,dejavu regret jealousy amnesia dream operation relationshipproblems love memory brainwashing relationship heartbreak nonlineartimeline sciencefictiondramaromance michelgondry jimcarrey katewinslet kirstendunst markruffalo
Alien,1979,Horror Science Fiction,English,Ridley Scott,8.08,android spacecraft countdown spacemarine spacesuit beheading spacetravel dystopia biology cowardice space alien femaleprotagonist cultfilm parasite spaceopera h.r.giger cosmos xenomorph horrorsciencefiction ridleyscott sigourneyweaver tomskerritt harrydeanstanton johnhurt
