Title,Year,Genres,Language,Director,Score,soup
Hacksaw Ridge,2016,Drama History War,English,Mel Gibson,8.08,japan worldwarii violentfather pacifism bible biography war okinawa conscientiousobjector basedonatruestory gore religion soldier alcoholic warhero medic usmilitary battleofokinawa congressionalmedalofhonor dramahistorywar melgibson andrewgarfield samworthington vincevaughn lukebracey
Wolf Children,2012,Animation Drama Family Fantasy,Japanese,Mamoru Hosoda,8.08,wolf forest growingup children ruralarea werewolf singlemother werewolfchild farmingcommunity farming anime animationdramafamilyfantasy mamoruhosoda aoimiyazaki takaoosawa harukuroki yukitonishii
Good Will Hunting,1997,Drama,English,Gus Van Sant,8.08,baseball boston massachusetts professor m.i.t. harvarduniversity ambition mathematics genius love friends flashback janitor psychologist university courtroom prodigy drama gusvansant mattdamon robinwilliams benaffleck stellanskarsgård
2001: A Space Odyssey,1968,Science Fiction Mystery Adventure,English,Stanley Kubrick,8.08,moon jupiter artificialintelligence manvsmachine technology supercomputer spacetravel spacemission moonbase astronaut cultfilm evolution monolith spacestation spaceopera 2000s sciencefictionmysteryadventure stanleykubrick keirdullea garylockwood williamsylvester douglasrain
Scarface,1983,Action Crime Drama Thriller,English,Brian De Palma,8.08,siblingrelationship miami florida corruption lossoflovedone cuba prohibitionera cocaine riseandfall remake mafia bitterness risetopower actioncrimedramathriller briandepalma alpacino stevenbauer michellepfeiffer maryelizabethmastrantonio
"Three Billboards Outside Ebbing, Missouri",2017,Crime Drama,English,Martin McDonagh,8.08,suicide rape smalltown missouri alcoholism murder darkcomedy cancer teenagegirl arson policecorruption racism anger billboard guiltyconscience molotovcocktail policeviolence poolhall crimedrama martinmcdonagh francesmcdormand woodyharrelson samrockwell johnhawkes
Room,2015,Drama Thriller,English,Lenny Abrahamson,8.08,"basedonnovelorbook carpet isolation kidnapping imprisonment grandparents escape hospital dog captive ""childrensperspectives"" skylight mothersonrelationship dramathriller lennyabrahamson brielarson jacobtremblay joanallen williamh.macy"
Full Metal Jacket,1987,Drama War,English,Stanley Kubrick,8.08,"suicide prostitute helicopter basedonnovelorbook journalism sniper propaganda vietnam recruit warphotographer warcorrespondent war bootcamp rescue jungle infantry sergeant racism violence genocide fighting platoon combat discipline u.s.marine obstaclecourse massgrave blanketparty dramawar stanleykubrick matthewmodine adambaldwin ""vincentdonofrio"" r.leeermey"
Witness for the Prosecution,1957,Drama Mystery Crime,English,Billy Wilder,8.07,nurse alibi letter widow murder lawyer trial cigarettesmoking courtroom murdermystery tikiculture dramamysterycrime billywilder tyronepower marlenedietrich charleslaughton elsalanchester
Lion,2016,Drama,English,Garth Davis,8.07,basedonnovelorbook adoption biography australia basedonatruestory india missingchild longlostrelative tasmania streetchild drama garthdavis sunnypawar devpatel rooneymara davidwenham
My Neighbor Totoro,1988,Fantasy Animation Family,Japanese,Hayao Miyazaki,8.07,siblingrelationship mother leave village ruralarea hospital newneighbor newhome superpower magicalcreature cute anime fantasyanimationfamily hayaomiyazaki norikohidaka hitoshitakagi chikasakamoto shigesatoitoi
Rashomon,1950,Crime Drama Mystery,Japanese,Akira Kurosawa,8.06,japan rape samurai rain woodcutter medium sunlight courtcase dyinganddeath court truth criminal basedonshortstory multipleperspectives crimedramamystery akirakurosawa toshirōmifune machikokyō masayukimori takashishimura
"Love, Simon",2018,Comedy Drama Romance,English,Greg Berlanti,8.06,sexualidentity sexuality basedonnovelorbook comingout class highschool love malehomosexuality bully comingofage teenmovie teenager youth lgbt lgbtteen basedonyoungadultnovel gay comedydramaromance gregberlanti nickrobinson jennifergarner joshduhamel katherinelangford
The Kid,1921,Comedy Drama,English,Charlie Chaplin,8.06,angel suicideattempt fistfight slapstick classdifferences richpoor foundling silentfilm dreamsequence semiautobiographical cartheft littletramp illegitimatechild unwedmother abandonedbaby outofwedlockchild raisedlikeownchild gooddeeddoer comedydrama charliechaplin charliechaplin jackiecoogan ednapurviance carlmiller
There Will Be Blood,2007,Drama,English,Paul Thomas Anderson,8.06,siblingrelationship california pastor deaf-mute americandream fanatic pipeline petrol father misanthrophy oil money killer alcoholic narcissism bowlingalley signlanguages adoptedson drama paulthomasanderson danieldaylewis pauldano dillonfreasier ciaránhinds
Casablanca,1942,Drama Romance,English,Michael Curtiz,8.05,lovetriangle corruption spy resistance casablanca vichyregime emigration visa patriotism nationalism morocco concentrationcamp nazi war noir dramaromance michaelcurtiz humphreybogart ingridbergman paulhenreid clauderains
Citizen Kane,1941,Mystery Drama,English,Orson Welles,8.05,journalist newspaper florida capitalist banker mediatycoon artcollector sleigh money child mysterydrama orsonwelles orsonwelles josephcotten dorothycomingore raycollins
La Dolce Vita,1960,Comedy Drama,Italian,Federico Fellini,8.05,rome italy sea lossoflovedone lovesickness sunrise irony newspaper photographer bar desperation sadness nightlife fountain dyinganddeath unsociability cowardliness ghost trevifountain comedydrama federicofellini marcellomastroianni anitaekberg anoukaimée yvonnefurneaux
Double Indemnity,1944,Crime Drama Mystery Thriller,English,Billy Wilder,8.04,insurancefraud femmefatale noir murder lifeinsurance insuranceagent insurancepolicy murderplot schemingwife crimedramamysterythriller billywilder fredmacmurray barbarastanwyck edwardg.robinson porterhall
Perfect Blue,1997,Animation Thriller,Japanese,Satoshi Kon,8.04,japan career stalker singer femaleprotagonist splitpersonality j-pop anime animationthriller satoshikon junkoiwao ricamatsumoto shinpachitsuji masaakiōkura
Senna,2010,Documentary,English,Asif Kapadia,8.03,champion sports rivalry racing teammate driver sportsdocumentary formulaone motorsport documentary asifkapadia ayrtonsenna alainprost frankwilliams rondennis
The Lives of Others,2006,Drama Thriller,German,Florian Henckel von Donnersmarck,8.03,"germany berlin germany berlinwall corruption germandemocraticrepublic stasi blackmail coldwar sovietunion propaganda freedomofspeech housesearch ""artistslife"" spying government interrogation surveillance heartbreak eastgermany communism dramathriller florianhenckelvondonnersmarck martinagedeck ulrichmühe sebastiankoch ulrichtukur"
All About Eve,1950,Drama,English,Joseph L. Mankiewicz,8.03,playwright hollywood blackandwhite relationship insecurity broadway basedonshortstory theater broadwaystar drama josephl.mankiewicz bettedavis annebaxter georgesanders celesteholm
Hate,1995,Drama,French,Mathieu Kassovitz,8.03,paris france neonazism policebrutality hip-hop sociallydeprivedfamily breakdance ghetto malefriendship xenophobia parissuburb drama mathieukassovitz vincentcassel hubertkoundé saïdtaghmaoui abdelahmedghili
Neon Genesis Evangelion: The End of Evangelion,1997,Drama Science Fiction Animation Fantasy Action,Japanese,Hideaki Anno,8.03,philosophy post-apocalypticfuture insanity futuristic mecha violence rebirth anime dramasciencefictionanimationfantasyaction hideakianno megumiogata megumihayashibara kotonomitsuishi yukomiyamura
The Hunt,2012,Drama,Danish,Thomas Vinterberg,8.02,parentchildrelationship lie pedophilia kindergarten father children teacher school pedophile divorce drama thomasvinterberg madsmikkelsen thomasbolarsen annikawedderkopp lassefogelstrøm
Wild Strawberries,1957,Drama,Swedish,Ingmar Bergman,8.02,adultery identity dream journeyinthepast professor self-awareness nightmare aging faith child acceptance drama ingmarbergman victorsjöström bibiandersson ingridthulin gunnarbjörnstrand
The Elephant Man,1980,Drama History,English,David Lynch,8.02,exploitation biography basedonatruestory hospital curiosity sideshow disfigurement physicaldeformity freak 19thcentury dignity dramahistory davidlynch anthonyhopkins johnhurt annebancroft johngielgud
Memories of Murder,2003,Crime Drama Thriller,Korean,Bong Joon-ho,8.01,corruption rape detective assassin evidence suspect victim investigation police basedonatruestory murder true torture brutality killer crimedramathriller bongjoonho songkangho kimsangkyung kimroeha songjaeho
Capernaum,2018,Drama,Arabic,Nadine Labaki,8.01,slum childabuse lebanon refugee neglect beirut lawsuit childbride undocumentedimmigrant poverty lifeintheslums slumdwellers drama nadinelabaki zainalrafeea yordanosshifera boluwatifetreasurebankole kawsaralhaddad
Tokyo Story,1953,Drama,Japanese,Yasujirō Ozu,8.0,coma beach baby fish boat office baseball classroom dream trip lantern lie ambition water tea song retirement cake marriage peace class swing honor gift teacher school oldman oldcouple drama yasujirōozu chishūryū chiekohigashiyama setsukohara harukosugimura
Yojimbo,1961,Drama Thriller,Japanese,Akira Kurosawa,8.0,japan gambling swordplay samurai sword bodyguard fighting family intrigue ronin revolver edoperiod feudaljapan 19thcentury asianwestern dramathriller akirakurosawa toshirōmifune tatsuyanakadai yôkotsukasa isuzuyamada
The Sting,1973,Comedy Crime Drama,English,George Roy Hill,7.99,chicago usa bet horserace repayment conman mafiaboss caper violence ragtime offtrackbetting stingoperation alley 1930s 20thcentury comedycrimedrama georgeroyhill paulnewman robertredford robertshaw charlesdurning
Come and See,1985,Drama War History,Russian,Elem Klimov,7.99,warcrimes worldwarii nazi wehrmacht insanity surrealism teenagegirl atrocity genocide russianarmy minefield horrorsofwar prematureaging byelorussia easternfront childreninwartime dramawarhistory elemklimov alekseikravchenko olgamironova liubomiraslaucevicius vladasbagdonas
On My Skin,2018,Drama,Italian,Alessio Cremonini,7.99,Not Available drama alessiocremonini alessandroborghi massimilianotortora milviamarigliano jasminetrinca
The Wolf of Wall Street,2013,Crime Drama Comedy,English,Martin Scorsese,7.99,corruption drugaddiction antihero conman fraud wallstreet riseandfall conartist stockbroker wealthy drugs stripping hedonism decadence 1980s sharemarketfraud financialmarket blackmonday crimedramacomedy martinscorsese leonardodicaprio jonahhill margotrobbie kylechandler
Harry Potter and the Prisoner of Azkaban,2004,Adventure Fantasy,English,Alfonso Cuarón,7.99,flying traitor magic childhero broom schoolofwitchcraft blackmagic timetravel bestfriend werewolf muggle aftercreditsstinger basedonyoungadultnovel wizardingworld adventurefantasy alfonsocuarón danielradcliffe rupertgrint emmawatson garyoldman
WALL·E,2008,Animation Family Science Fiction,English,Andrew Stanton,7.99,garbage spacetravel dystopia loneliness distantfuture robot aftercreditsstinger duringcreditsstinger animationfamilysciencefiction andrewstanton benburtt elissaknight jeffgarlin fredwillard
Incendies,2010,Drama War Mystery,French,Denis Villeneuve,7.99,prison middleeast rape muslim militia interpreter son orphanage swimmingpool massacre checkpoint politicalassassination twins will dramawarmystery denisvilleneuve lubnaazabal mélissadésormeauxpoulin maximgaudette rémygirard
The Imitation Game,2014,History Drama Thriller War,English,Morten Tyldum,7.99,england homophobia worldwarii mathematician biography malehomosexuality logician cryptography gay historydramathrillerwar mortentyldum benedictcumberbatch keiraknightley matthewgoode rorykinnear
Kill Bill: Vol 1,2003,Action Crime,English,Quentin Tarantino,7.99,japan coma martialarts kungfu asia underworld yakuza sword bride revenge femaleyakuza animatedscene wedding samuraisword actioncrime quentintarantino umathurman lucyliu vivicaa.fox darylhannah
The Grand Budapest Hotel,2014,Comedy Drama,English,Wes Anderson,7.98,hotel easterneurope painting author wartime gunfight theft bellboy mentorprotégérelationship european hotellobby renaissancepainting 1960s 1930s comedydrama wesanderson ralphfiennes tonyrevolori f.murrayabraham mathieuamalric
Star Wars: Episode VI - Return of the Jedi,1983,Adventure Action Science Fiction,English,Richard Marquand,7.98,siblingrelationship rebel spacecraft emperor spacebattle matteroflifeanddeath deathstar jabbathehutt ewoks jedi spaceopera adventureactionsciencefiction richardmarquand markhamill harrisonford carriefisher billydeewilliams
Terminator 2: Judgment Day,1991,Action Thriller Science Fiction,English,James Cameron,7.98,cyborg shotgun post-apocalypticfuture dystopia moralambiguity mentalinstitution violence fictionalwar morphing nuclearweapons shapeshifter savior catchphrase actionthrillersciencefiction jamescameron arnoldschwarzenegger lindahamilton edwardfurlong robertpatrick
American Beauty,1999,Drama,English,Sam Mendes,7.98,adultery parentchildrelationship midlifecrisis comingout firsttime camcorder virgin estateagent cheerleader rose satire loneliness darkcomedy suburbia comingofage marijuana exercise extramaritalaffair quittingajob retiredarmyman affair closetedhomosexual gay drama sammendes kevinspacey annettebening thorabirch wesbentley
12 Years a Slave,2013,Drama History,English,Steve McQueen,7.98,"slavery plantation basedonmemoirorautobiography violinplayer physicalabuse blackslave americanhistory slaveowner 19thcentury soldintoslavery abolitionist abuseofpower africanamericanhistory dramahistory stevemcqueen chiwetelejiofor michaelfassbender ""lupitanyongo"" benedictcumberbatch"
Gran Torino,2008,Drama,English,Clint Eastwood,7.98,rape warveteran immigration gangster priest gang oldman teenager detroit widower car hmong drama clinteastwood clinteastwood christophercarley beevang ahneyher
Prisoners,2013,Drama Thriller Crime,English,Denis Villeneuve,7.98,detective pennsylvania usa hostage kidnapping maze investigation vigilante revenge beating ruralarea crimescene brutality candlelightvigil animalcruelty neo-noir childabduction dramathrillercrime denisvilleneuve hughjackman jakegyllenhaal pauldano mariabello
Trainspotting,1996,Drama Crime,English,Danny Boyle,7.98,london england scotland basedonnovelorbook drugaddiction drugdealer nightclub junkie heroin coldturkey edinburgh scotland modernsociety hallucination friendship monologue surrealism darkcomedy stealing drugrehabilitation drugdealing drugs cultfilm recoveringaddict illegaldrugs drugculture antihero dramacrime dannyboyle ewanmcgregor ewenbremner jonnyleemiller robertcarlyle
The Greatest Showman,2017,Drama,English,Michael Gracey,7.98,circus musical biography diversity basedonatruestory outcast singing dreamer freakshow showman drama michaelgracey hughjackman michellewilliams zacefron zendaya
Requiem for a Dream,2000,Crime Drama,English,Darren Aronofsky,7.98,drugaddiction junkie heroin speed diet unsociability illegalprostitution crimedrama darrenaronofsky ellenburstyn jaredleto jenniferconnelly marlonwayans
"Boot, Das",1981,Drama History War,German,Wolfgang Petersen,7.98,terror submarine basedonnovelorbook atlanticocean gibraltar worldwarii duty warcorrespondent torpedo drinking sailor convoy uboat destroyer comrade germansubmarine navalbattle periscope suicidalmission battleoftheatlantic dramahistorywar wolfgangpetersen jürgenprochnow herbertgrönemeyer klauswennemann hubertusbengsch
Hidden Figures,2016,Drama History,English,Theodore Melfi,7.98,nasa sexism biography mathematics racialsegregation racism scientist spacerace discrimination 1960s spaceprogram africanamericanhistory dramahistory theodoremelfi tarajip.henson octaviaspencer janellemonáe kevincostner
